multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M1,1,7.4076,2.95,0.85,26.09,4444.56,0.8333333333333334
M1,2,7.4055,6.45,1.33,95.32,4443.3,1.0
M1,3,7.4028,1.92,1.0,18.58,4441.68,0.591715976331361
M1,4,7.3981,0.6,1.08,7.23,4438.860000000001,1.0
M1,5,7.3953,8.34,1.02,83.15,4437.18,0.6172839506172839
M1,6,7.3934,14.17,1.18,180.51,4436.04,1.0
M1,7,7.3915,10.63,1.27,143.81,4434.9,0.9615384615384615
M1,8,7.3873,0.83,1.03,7.76,4432.38,0.47619047619047616
M1,9,7.3851,4.32,1.07,48.23,4431.06,0.8264462809917356
M1,10,7.3816,16.17,1.23,215.93,4428.96,1.0
M1,11,7.3803,9.89,1.27,125.61,4428.18,0.6756756756756757
M1,12,7.3785,2.37,0.74,17.49,4427.099999999999,0.6451612903225806
M1,13,7.3744,0.63,2.02,12.87,4424.639999999999,0.7142857142857143
M1,14,7.3627,8.26,1.63,127.63,4417.62,0.5376344086021506
M1,15,7.3598,25.98,1.92,475.31,4415.88,0.5494505494505495
M1,16,7.355,8.82,1.37,113.63,4413.0,0.5263157894736842
M1,17,7.3512,4.73,2.86,124.66,4410.72,0.4926108374384236
M1,18,7.3482,10.65,2.32,270.49,4408.92,1.0
M1,19,7.3455,5.73,1.57,91.22,4407.3,0.7142857142857143
M1,20,7.3412,9.37,1.54,138.26,4404.72,0.5586592178770949
M1,21,7.3368,1.46,0.98,14.52,4402.08,0.7142857142857143
M1,22,7.3322,1.4,1.03,13.67,4399.32,0.5376344086021506
M1,23,7.3296,2.95,1.39,43.92,4397.76,0.9803921568627451
M1,24,7.3269,1.19,1.12,13.48,4396.14,0.7194244604316546
M2,1,4.4291,43.1,2.23,961.66,2657.46,0.6756756756756757
M3,1,3.306,179.87,1.11,2116.68,1983.6000000000001,0.9174311926605504
M3,2,3.2986,0.09,1.1,0.8,1979.16,0.37593984962406013
M4,1,3.1729,0.62,3.32,19.73,1903.74,0.5681818181818182
M4,2,3.1587,0.67,11.2,59.93,1895.22,0.3436426116838488
M4,3,3.1444,0.65,3.37,21.98,1886.64,0.6711409395973155
M5,1,2.9058,1.83,2.76,51.38,1743.48,0.7299270072992701
M6,1,2.4901,25.59,1.32,345.87,1494.06,0.7407407407407407
M6,2,2.487,62.03,1.48,991.62,1492.2,1.0
M6,3,2.4838,92.36,1.42,1414.05,1490.28,1.0
M6,4,2.4808,62.56,1.37,920.96,1488.48,1.0
M6,5,2.4777,27.37,1.41,376.2,1486.6200000000001,0.6060606060606061
M7,1,1.5818,0.63,20.92,109.97,949.08,0.3717472118959108
M8,1,1.2728,1.44,18.74,252.87,763.68,0.5208333333333334
M8,2,1.2619,0.26,1.9,4.07,757.14,0.35714285714285715
M8,3,1.259,0.7,3.93,28.88,755.4,0.9174311926605504
M8,4,1.2398,3.28,15.65,439.04,743.88,0.4016064257028112
M9,1,0.8625,0.94,2.22,20.45,517.5,0.6024096385542168
M9,2,0.855,0.67,4.28,32.29,513.0,1.0
M9,3,0.8513,3.0,1.58,53.19,510.78,1.0
M9,4,0.8436,1.71,1.61,32.73,506.16,1.0
M9,5,0.8393,1.55,1.78,28.2,503.58000000000004,0.7518796992481203
M9,6,0.8317,0.69,2.14,17.82,499.02,1.0
