multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M1,1,7.4724,1.67,0.94,15.73,4483.4400000000005,0.6622516556291391
M1,2,7.4682,17.16,0.95,158.28,4480.92,0.5952380952380952
M1,3,7.4657,24.12,1.37,313.3,4479.42,0.5434782608695653
M1,4,7.4631,9.76,1.38,128.74,4477.86,0.5524861878453039
M1,5,7.4588,5.97,0.86,44.5,4475.28,0.4098360655737705
M1,6,7.4551,32.46,1.32,454.14,4473.0599999999995,0.9433962264150942
M1,7,7.4521,29.32,1.04,323.9,4471.26,0.9259259259259258
M2,1,7.4143,1.34,0.93,12.34,4448.58,0.6329113924050632
M2,2,7.4118,3.54,0.98,35.27,4447.08,0.7352941176470589
M2,3,7.4092,2.36,1.09,26.93,4445.52,0.8695652173913044
M2,4,7.406,2.45,1.07,26.68,4443.599999999999,0.7407407407407407
M2,5,7.3993,15.7,1.56,245.81,4439.58,0.6756756756756757
M2,6,7.3946,4.95,1.05,53.96,4436.76,0.7936507936507936
M2,7,7.3907,12.99,1.01,132.08,4434.42,0.7092198581560284
M2,8,7.3879,21.89,1.02,226.24,4432.74,0.7092198581560284
M2,9,7.3851,10.38,1.03,102.15,4431.06,0.5617977528089888
M2,10,7.3828,11.35,0.73,78.37,4429.679999999999,0.5434782608695653
M2,11,7.3814,35.41,1.34,541.9,4428.84,1.0
M2,12,7.3789,10.46,0.78,79.68,4427.34,0.5988023952095809
M2,13,7.3733,4.84,0.72,35.48,4423.9800000000005,0.7042253521126761
M2,14,7.3721,12.1,1.18,158.71,4423.26,1.0
M2,15,7.3695,29.16,1.24,380.23,4421.7,0.8849557522123894
M2,16,7.368,9.57,0.98,97.38,4420.8,0.8333333333333334
M2,17,7.3655,4.46,0.93,41.52,4419.3,0.6711409395973155
M2,18,7.3612,3.78,0.83,29.93,4416.72,0.5464480874316939
M2,19,7.3584,9.48,1.23,117.54,4415.04,0.7042253521126761
M2,20,7.3548,6.94,0.83,61.68,4412.88,1.0
M3,1,4.1578,59.56,1.16,632.98,2494.68,0.47619047619047616
M4,1,3.3279,0.06,0.17,0.1,1996.74,0.49751243781094534
M4,2,3.327,0.06,0.22,0.11,1996.2,0.35587188612099646
M4,3,3.3263,0.06,3.91,3.07,1995.78,1.0
M4,4,3.324,0.14,0.35,0.39,1994.3999999999999,0.3333333333333333
M4,5,3.323,0.14,0.33,0.38,1993.8,0.35714285714285715
M4,6,3.3221,0.21,0.31,0.56,1993.26,0.4566210045662101
M4,7,3.3211,0.18,0.31,0.49,1992.6599999999999,0.45454545454545453
M4,8,3.3201,0.24,0.27,0.64,1992.06,0.7042253521126761
M4,9,3.3191,0.19,0.3,0.46,1991.46,0.3448275862068966
M4,10,3.3181,0.21,0.28,0.46,1990.86,0.3333333333333333
M4,11,3.3172,0.28,0.37,0.95,1990.3200000000002,0.45454545454545453
M4,12,3.3162,0.34,0.42,1.35,1989.7199999999998,0.53475935828877
M4,13,3.3152,0.34,0.37,1.13,1989.12,0.4484304932735426
M4,14,3.3143,0.3,0.35,0.88,1988.58,0.3846153846153846
M4,15,3.3132,0.48,0.88,3.69,1987.92,0.43103448275862066
M4,16,3.3073,207.12,1.02,2062.81,1984.38,0.6060606060606061
M4,17,3.302,0.29,0.27,0.64,1981.2,0.35587188612099646
M4,18,3.301,0.32,0.23,0.57,1980.6000000000001,0.3333333333333333
M4,19,3.3,0.37,0.3,0.88,1980.0,0.34602076124567477
M4,20,3.2991,0.39,0.37,1.34,1979.46,0.5050505050505051
M4,21,3.2981,0.35,0.4,1.41,1978.86,0.7518796992481203
M4,22,3.2971,0.33,0.42,1.49,1978.26,0.9345794392523364
M4,23,3.2961,0.37,0.48,1.89,1977.66,1.0
M4,24,3.2951,0.33,0.45,1.53,1977.0600000000002,0.7462686567164178
M4,25,3.2942,0.3,0.45,1.39,1976.52,0.7633587786259541
M4,26,3.2932,0.28,0.46,1.35,1975.92,0.819672131147541
M4,27,3.2922,0.29,0.45,1.2,1975.32,0.49019607843137253
M4,28,3.2912,0.2,0.39,0.82,1974.72,0.8333333333333334
M4,29,3.2902,0.22,0.41,0.89,1974.1200000000001,0.7142857142857143
M4,30,3.2893,0.18,0.4,0.69,1973.58,0.625
M4,31,3.2883,0.15,0.38,0.56,1972.98,0.6993006993006994
M4,32,3.2873,0.12,0.34,0.36,1972.38,0.4166666666666667
M4,33,3.2863,0.11,0.36,0.43,1971.7800000000002,0.9900990099009901
M5,1,2.505,0.96,1.06,9.93,1503.0,0.5988023952095809
M5,2,2.5019,1.21,1.26,16.87,1501.14,1.0
M5,3,2.4988,1.03,1.17,12.97,1499.28,1.0
M5,4,2.4901,21.47,1.21,246.42,1494.06,0.5434782608695653
M5,5,2.487,51.66,1.35,734.95,1492.2,0.9090909090909091
M5,6,2.4838,79.48,1.39,1209.78,1490.28,1.0
M5,7,2.4808,51.15,1.24,655.69,1488.48,0.7936507936507936
M5,8,2.4778,22.35,1.41,297.74,1486.6799999999998,0.5263157894736842
