multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M1,1,10.7531,0.74,0.88,7.07,6451.86,1.0
M1,2,10.7509,1.71,1.54,27.35,6450.54,0.8333333333333334
M2,1,9.9857,2.85,1.99,53.56,5991.42,0.5291005291005291
M2,2,9.9834,3.98,1.88,83.26,5990.04,1.0
M2,3,9.9801,0.4,1.03,4.63,5988.06,1.0
M2,4,9.9719,4.89,2.75,130.09,5983.139999999999,0.5780346820809249
M2,5,9.9698,1.46,1.48,23.6,5981.879999999999,1.0
M3,1,9.63,0.5,1.09,5.49,5778.000000000001,0.6711409395973155
M3,2,9.6274,0.96,1.84,19.49,5776.44,1.0
M3,3,9.6245,0.3,1.44,4.91,5774.7,1.0
M3,4,9.6208,0.2,1.1,1.69,5772.48,0.3333333333333333
M3,5,9.6171,1.04,1.67,17.14,5770.26,0.6369426751592357
M3,6,9.6139,1.11,1.89,22.43,5768.339999999999,0.9803921568627451
M3,7,9.6034,3.42,1.89,67.15,5762.04,0.819672131147541
M3,8,9.6003,0.75,1.14,8.79,5760.18,0.7633587786259541
M3,9,9.5906,6.87,2.26,160.24,5754.360000000001,0.7936507936507936
M3,10,9.5804,0.84,1.19,10.7,5748.24,0.9803921568627451
M3,11,9.5776,4.16,1.76,77.58,5746.56,0.9259259259259258
M3,12,9.566,0.62,2.15,14.73,5739.6,1.0
M3,13,9.5611,0.18,1.07,1.89,5736.66,0.6172839506172839
M3,14,9.5577,0.31,1.0,2.94,5734.62,0.5464480874316939
M3,15,9.5552,1.23,1.61,21.46,5733.12,1.0
M3,16,9.5537,1.77,2.02,38.28,5732.219999999999,0.9803921568627451
M3,17,9.5503,1.51,1.89,22.42,5730.18,0.33557046979865773
M3,18,9.5471,0.43,1.23,6.04,5728.26,1.0
M3,19,9.5434,1.47,1.21,17.25,5726.04,0.5952380952380952
M3,20,9.5414,3.8,1.84,81.33,5724.839999999999,1.0
M3,21,9.5391,2.66,2.28,67.05,5723.46,1.0
M3,22,9.5334,0.85,1.26,11.11,5720.04,0.8
M3,23,9.5291,5.81,2.04,116.97,5717.46,0.625
M3,24,9.5229,0.15,0.94,1.58,5713.74,1.0
M3,25,9.5147,2.01,1.7,35.07,5708.82,0.7633587786259541
M3,26,9.5117,7.36,2.15,166.84,5707.0199999999995,0.8928571428571428
M3,27,9.5057,1.93,2.39,49.4,5703.419999999999,0.9900990099009901
M3,28,9.4998,5.16,3.45,181.03,5699.88,0.7299270072992701
M3,29,9.497,0.55,0.74,3.85,5698.2,0.5208333333333334
M3,30,9.4921,2.29,1.76,42.03,5695.26,0.8333333333333334
M3,31,9.487,3.33,1.87,67.48,5692.2,1.0
M3,32,9.4838,0.69,1.44,10.38,5690.280000000001,0.8771929824561403
M3,33,9.4805,0.65,1.26,8.62,5688.299999999999,0.9259259259259258
M3,34,9.4769,0.56,1.92,10.79,5686.14,0.6993006993006994
M3,35,9.4745,1.02,1.43,16.97,5684.700000000001,1.0
M3,36,9.4723,0.43,1.09,5.25,5683.38,1.0
M4,1,7.779,13.42,2.23,286.19,4667.4,0.5524861878453039
M5,1,6.6443,0.08,2.37,1.96,3986.5800000000004,0.6944444444444444
M5,2,6.6362,0.07,3.43,2.61,3981.72,1.0
M5,3,6.6254,0.1,3.34,4.1,3975.24,1.0
M6,1,6.5642,0.48,3.03,12.95,3938.5199999999995,0.4347826086956522
M7,1,6.5397,1.08,1.86,17.39,3923.8199999999997,0.4132231404958678
M8,1,6.497,0.1,1.71,1.78,3898.2,1.0
M8,2,6.4893,0.09,1.31,1.33,3893.58,1.0
M8,3,6.4787,0.1,1.65,1.5,3887.22,0.53475935828877
M8,4,6.4711,0.08,1.32,0.86,3882.66,0.3333333333333333
M9,1,6.406,0.27,1.72,4.22,3843.6,0.5
M9,2,6.3987,0.23,2.3,5.34,3839.22,0.7042253521126761
M9,3,6.3953,0.29,2.39,6.82,3837.18,0.6756756756756757
M9,4,6.388,0.29,2.26,5.83,3832.7999999999997,0.45454545454545453
M10,1,6.3203,0.34,1.61,5.78,3792.18,0.8130081300813008
M10,2,6.3097,0.27,1.49,3.83,3785.82,0.5617977528089888
M10,3,6.3045,0.41,1.61,6.49,3782.7,0.6493506493506493
M10,4,6.2938,0.3,1.67,5.18,3776.28,0.8620689655172414
M11,1,6.2761,0.24,1.06,2.2,3765.66,0.43103448275862066
M11,2,6.274,0.34,1.46,5.2,3764.4,0.9009009009009008
M12,1,6.2649,0.09,1.74,1.46,3758.94,0.4807692307692307
M12,2,6.2542,0.09,1.53,1.45,3752.52,0.9615384615384615
M12,3,6.2465,0.1,1.41,1.49,3747.9,1.0
M12,4,6.2358,0.08,1.41,1.01,3741.48,0.5319148936170213
M13,1,6.0137,0.39,1.4,5.91,3608.2200000000003,1.0
M13,2,6.0065,0.39,1.43,5.83,3603.9,0.8333333333333334
M13,3,5.9978,0.38,1.44,5.91,3598.68,0.970873786407767
M13,4,5.9907,0.35,1.48,5.28,3594.42,0.7518796992481203
M14,1,5.8641,6.87,6.28,442.05,3518.4599999999996,0.7575757575757576
M14,2,5.8581,20.24,5.97,1222.49,3514.86,0.7092198581560284
M14,3,5.8428,33.19,7.18,2356.52,3505.6800000000003,0.6369426751592357
M14,4,5.836,14.71,4.17,625.59,3501.6000000000004,0.7407407407407407
M14,5,5.8318,8.8,3.96,356.69,3499.0800000000004,0.7518796992481203
M15,1,5.3155,0.18,4.11,8.07,3189.3,1.0
M15,2,5.3017,0.21,11.01,22.03,3181.02,0.5181347150259067
M15,3,5.2871,0.19,4.05,8.0,3172.2599999999998,0.8130081300813008
M16,1,5.0471,0.56,3.26,18.58,3028.26,0.7575757575757576
M17,1,4.6855,0.61,1.49,9.46,2811.3,0.8474576271186441
M17,2,4.6824,0.66,1.33,8.77,2809.44,0.6493506493506493
M17,3,4.6794,0.39,1.26,4.88,2807.6400000000003,0.6666666666666666
M17,4,4.6713,13.01,1.42,167.32,2802.7799999999997,0.46511627906976744
M17,5,4.6681,35.26,1.81,661.26,2800.86,0.7936507936507936
M17,6,4.665,52.33,1.84,996.81,2799.0,0.8130081300813008
M17,7,4.6618,38.62,1.78,733.43,2797.0800000000004,0.9615384615384615
M17,8,4.6587,14.34,1.43,197.62,2795.22,0.5681818181818182
M18,1,3.7303,0.2,22.97,37.81,2238.1800000000003,0.34965034965034963
M19,1,3.4078,0.72,28.93,169.01,2044.68,0.35842293906810035
M19,2,3.3852,0.73,9.19,76.06,2031.1200000000001,1.0
