multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M15,5,0.7998,0.21,1.63,6.75,0.0,0.6993006993006994
M15,4,0.8069,0.32,1.32,6.65,4.259999999999991,0.3333333333333333
M15,3,0.8112,0.35,1.31,7.72,6.840000000000032,0.3802281368821293
M15,2,0.819,0.77,1.89,29.36,11.519999999999982,0.6802721088435374
M15,1,0.8296,0.23,1.58,6.6,17.879999999999995,0.4651162790697674
M13,5,2.3656,0.21,1.01,3.94,37.879999999999995,0.5
M13,4,2.3688,0.27,1.1,5.92,39.79999999999984,0.628930817610063
M13,3,2.372,0.18,0.87,3.17,41.719999999999686,0.8
M13,2,2.3753,0.05,0.63,0.56,43.69999999999993,0.4385964912280701
M13,1,2.404,0.05,1.46,1.49,60.91999999999973,0.5
M11,1,2.8673,0.47,1.9,16.49,80.91999999999973,0.4901960784313725
M10,3,3.107,0.18,2.11,7.65,100.91999999999973,0.6578947368421053
M10,1,3.1356,0.15,2.1,5.58,118.07999999999959,0.4587155963302753
M9,1,3.3308,0.07,1.36,1.66,138.0799999999996,0.5
M8,2,3.5013,0.18,1.0,3.31,158.0799999999996,0.5
M8,1,3.5079,0.2,0.93,3.52,162.03999999999917,0.5714285714285714
M6,5,3.811,0.36,0.89,6.29,182.03999999999917,0.5952380952380952
M6,4,3.8181,0.38,0.84,6.64,186.29999999999893,0.8620689655172414
M6,3,3.8268,0.4,0.79,6.13,191.5199999999992,0.6060606060606061
M6,2,3.8339,0.39,0.85,6.91,195.7799999999994,0.819672131147541
M5,24,4.0561,0.07,1.18,1.58,215.7799999999994,0.5025125628140703
M5,23,4.0667,0.08,1.1,1.74,222.13999999999953,0.625
M5,22,4.0742,0.09,1.1,1.95,226.63999999999953,0.5494505494505495
M5,21,4.0848,0.09,1.16,1.97,232.99999999999966,0.5405405405405405
M5,20,4.0933,0.3,1.15,5.83,238.09999999999957,0.373134328358209
M5,19,4.0962,0.32,0.5,3.11,239.83999999999935,0.6172839506172839
M5,18,4.1139,0.27,1.17,6.3,250.4599999999997,0.7142857142857143
M5,17,4.1246,0.35,1.09,7.99,256.87999999999977,0.9259259259259258
M5,16,4.1299,0.22,0.97,4.13,260.0599999999996,0.6369426751592357
M5,15,4.1404,0.3,1.14,7.08,266.35999999999933,0.8130081300813008
M4,1,4.1567,29.66,1.19,330.18,276.13999999999953,0.5154639175257733
M5,14,4.1637,0.08,0.86,1.35,280.3399999999998,0.6896551724137931
M5,13,4.1776,0.05,0.44,0.43,288.6799999999995,0.5
M5,12,4.2082,0.3,1.1,6.12,307.03999999999917,0.4854368932038835
M5,11,4.2154,0.29,1.11,6.69,311.35999999999933,0.7633587786259541
M5,10,4.2188,0.22,1.09,5.01,313.3999999999993,0.8333333333333334
M5,9,4.226,0.24,1.01,4.18,317.71999999999946,0.4273504273504274
M5,8,4.2914,0.1,0.77,1.62,337.71999999999946,0.7142857142857143
M5,7,4.2991,0.12,0.74,1.87,342.33999999999935,0.8333333333333334
M5,6,4.3097,0.09,0.75,1.37,348.6999999999995,0.78125
