multiplet_name,peak_in_multiplet,position_ppm,position_hz,height,width_hz,area,gaussian_fraction
M17,1,0.8277,0.0,0.66,2.44,19.52,1.0
M17,2,0.8354,4.610000000000014,1.4,1.87,24.76,0.5319148936170213
M17,3,0.8396,7.1299999999999955,1.56,1.71,29.01,1.0
M17,4,0.8473,11.75,3.02,1.87,68.33,1.0
M17,5,0.8586,18.50999999999999,0.99,2.1,22.51,1.0
M15,1,1.4237,79.68000000000006,0.31,1.95,6.52,1.0
M15,2,1.4354,86.73000000000002,0.99,2.1,23.56,1.0
M15,4,1.4607,101.86000000000001,1.01,2.78,28.83,0.7518796992481203
M15,5,1.4725,108.99000000000001,0.4,1.71,7.45,1.0
M15,6,1.4908,119.93000000000006,0.84,2.0,14.25,0.39370078740157477
M15,7,1.4966,123.38999999999999,1.45,2.52,37.73,0.8
M15,8,1.5017,126.49000000000001,3.65,1.27,48.4,0.8547008547008548
M15,10,1.5129,133.19000000000005,1.09,1.66,19.53,1.0
M15,11,1.5741,153.19000000000005,2.59,2.67,69.07,0.6622516556291391
M15,13,1.5859,160.25,9.18,2.57,248.22,0.8771929824561403
M15,15,1.5981,167.57000000000005,2.8,2.85,87.78,1.0
M15,16,1.6115,175.64999999999998,0.41,1.73,6.32,0.4504504504504505
M15,17,1.6248,183.63,0.77,2.72,22.33,1.0
M15,18,1.6372,191.04999999999995,1.07,3.06,35.74,1.0
M15,19,1.6501,198.76999999999998,0.79,2.85,24.2,1.0
M15,20,1.6626,206.28999999999996,0.26,1.62,3.82,0.4716981132075471
M14,1,2.1382,226.28999999999996,1.95,1.64,34.67,1.0
M14,2,2.1427,229.01,1.06,1.86,19.93,0.7092198581560284
M14,3,2.1454,230.58999999999992,0.72,1.59,13.21,1.0
M14,4,2.1497,233.18000000000006,5.01,1.68,91.03,1.0
M14,5,2.1541,235.81999999999994,2.56,1.63,47.14,1.0
M14,7,2.1614,240.22000000000003,1.74,1.57,29.43,1.0
M14,8,2.1658,242.83999999999992,0.76,1.76,14.1,0.8849557522123894
M13,1,2.5758,262.8399999999999,1.3,1.87,23.84,0.625
M13,2,2.5883,270.3799999999999,5.52,2.13,125.57,0.9900990099009901
M13,3,2.5913,272.16999999999985,4.58,2.34,126.89,1.0
M13,4,2.5946,274.1399999999999,5.89,1.98,134.5,1.0
M13,5,2.5977,276.01,4.41,2.07,103.15,1.0
M12,1,2.7105,303.8499999999999,0.47,0.92,4.62,1.0
M12,2,2.7151,306.56999999999994,0.94,1.07,10.46,0.8474576271186441
M12,3,2.7195,309.22,0.44,0.89,4.16,1.0
M12,4,2.7322,316.81999999999994,1.05,1.07,11.83,0.8620689655172414
M12,5,2.7366,319.47,2.26,0.89,21.97,1.0
M12,6,2.7411,322.19000000000005,1.02,1.12,11.43,0.684931506849315
M11,1,2.9002,342.19000000000005,1.74,2.8,49.27,0.7142857142857143
M10,1,3.8085,362.19000000000005,0.78,1.31,10.61,0.8
M10,2,3.8159,366.6100000000001,0.79,1.32,10.7,0.78125
M10,3,3.8241,371.52000000000044,0.82,1.44,12.2,0.8333333333333334
M10,4,3.8315,375.9600000000005,0.81,1.47,12.57,0.9090909090909091
M9,1,4.0014,395.9600000000005,0.17,1.57,2.35,0.44052863436123346
M9,2,4.0072,399.4300000000003,0.2,1.08,2.32,0.9259259259259258
M9,3,4.1291,419.4300000000003,0.58,1.87,10.87,0.6622516556291391
M9,4,4.14,425.9300000000003,0.81,1.83,15.48,0.8620689655172414
M9,5,4.1448,428.84000000000015,0.52,1.52,7.07,0.4444444444444444
M9,6,4.1556,435.3100000000004,0.7,2.01,13.51,0.5847953216374269
M9,7,4.2069,455.3100000000004,0.44,2.36,8.99,0.41493775933609955
M9,9,4.225,466.1700000000005,0.34,2.95,8.68,0.4065040650406504
M8,1,4.3521,486.1700000000005,1.66,2.45,39.98,0.625
M8,2,4.425,506.1700000000005,1.93,2.25,42.71,0.6172839506172839
M7,1,4.7597,526.1700000000005,0.4,2.16,8.2,0.5291005291005291
M6,1,5.5037,546.1700000000005,35.47,2.13,694.93,0.49019607843137253
M6,2,5.512,551.1400000000008,5.54,2.11,114.66,0.6134969325153374
M6,3,5.6349,571.1400000000008,0.32,2.4,9.26,1.0
M5,1,6.5781,591.1400000000008,0.45,2.08,8.87,0.5464480874316939
M4,1,6.7531,611.1400000000008,0.51,1.58,7.59,0.5405405405405405
M3,1,6.9918,631.1400000000008,0.24,1.62,4.65,1.0
M3,2,7.0019,637.1800000000007,0.44,1.34,5.41,0.4672897196261683
M2,1,7.24,657.1800000000007,4.1,1.54,70.34,1.0
M2,2,7.2423,658.5000000000005,9.84,2.2,203.73,0.5235602094240838
M2,3,7.2451,660.2000000000003,2.67,1.44,34.19,0.44052863436123346
M2,4,7.2499,663.1200000000003,2.47,1.58,37.43,0.5649717514124294
M2,5,7.2535,665.27,14.28,1.87,286.79,1.0
M2,6,7.2564,667.0100000000007,8.42,1.87,148.92,0.5376344086021506
M2,7,7.2626,670.6800000000007,1.84,2.25,39.15,0.53475935828877
M2,8,7.2653,672.3300000000004,1.09,1.6,17.61,0.6944444444444444
M2,9,7.2787,680.3400000000006,0.52,0.84,4.49,0.7936507936507936
M2,10,7.281,681.7200000000007,1.84,1.64,34.9,1.0
M2,11,7.2836,683.2900000000004,1.03,1.76,20.66,1.0
M2,12,7.2887,686.3800000000006,1.58,1.31,22.86,1.0
M2,13,7.2934,689.19,7.7,1.68,121.27,0.5208333333333334
M2,14,7.2978,691.7900000000006,2.18,1.93,38.75,0.48780487804878053
M2,15,7.3029,694.890000000001,3.07,1.17,36.58,0.7407407407407407
M2,16,7.3054,696.3800000000008,6.01,1.57,104.22,1.0
M2,17,7.308,697.9400000000003,2.09,1.21,26.33,0.8333333333333334
M2,18,7.3106,699.4800000000002,0.85,2.98,30.4,1.0
M2,19,7.3215,706.0100000000009,1.05,0.89,9.62,0.7633587786259541
M2,20,7.3237,707.3500000000001,3.43,0.74,27.5,1.0
M2,21,7.3252,708.2500000000007,13.08,1.57,221.24,1.0
M2,22,7.3276,709.7200000000009,2.88,1.0,31.17,1.0
M2,23,7.3349,714.0800000000006,7.52,1.14,89.81,0.8771929824561403
M2,24,7.3377,715.7600000000009,16.06,1.86,317.9,0.9523809523809523
M2,25,7.3411,717.8000000000009,0.96,1.09,11.02,0.8928571428571428
M2,26,7.3446,719.9100000000005,1.04,1.36,15.46,1.0
M2,27,7.3467,721.180000000001,3.12,1.57,49.8,0.7142857142857143
M2,28,7.3492,722.6300000000008,5.59,1.57,97.54,1.0
M2,29,7.3517,724.1500000000003,2.15,1.52,25.74,0.3367003367003367
M2,31,7.379,740.5200000000002,0.9,2.19,22.84,1.0
M2,32,7.3907,747.5600000000002,0.64,2.69,14.56,0.39525691699604737
M2,33,7.4034,755.1300000000008,0.2,2.44,4.61,0.5025125628140703
M1,1,7.8166,775.1300000000008,0.2,1.26,2.62,0.9523809523809523
M1,2,7.8572,795.1300000000008,4.77,2.05,99.24,0.7142857142857143
M1,3,7.8753,806.0300000000013,0.81,1.92,14.93,0.5747126436781609
