multiplet_name,peak_in_multiplet,position_ppm,position_hz,height,width_hz,area,gaussian_fraction
M8,1,0.8304,0.0,1.39,2.06,30.09,0.9009009009009008
M8,2,0.838,4.590000000000032,3.52,1.99,76.43,1.0
M8,3,0.8423,7.130000000000052,3.44,1.43,54.38,1.0
M8,4,0.8499,11.680000000000007,7.34,1.7,145.59,1.0
M8,5,0.8611,18.430000000000007,2.12,2.15,42.89,0.5235602094240838
M6,1,1.4729,78.88000000000005,0.52,2.61,15.25,1.0
M6,2,1.4804,83.42000000000002,1.56,1.63,27.93,1.0
M6,3,1.4878,87.82,2.63,0.96,26.38,0.8333333333333334
M6,4,1.4923,90.53000000000003,15.49,1.24,200.21,0.8333333333333334
M6,5,1.4941,91.61000000000007,5.65,0.86,49.88,0.7518796992481203
M6,6,1.4971,93.42000000000002,8.28,1.12,94.37,0.7246376811594204
M6,7,1.4987,94.38000000000005,20.18,2.26,536.61,1.0
M6,8,1.5037,97.36000000000007,59.89,1.26,847.66,1.0
M6,9,1.5084,100.20999999999998,18.14,1.74,336.29,0.9803921568627451
M6,10,1.5102,101.29000000000002,11.05,1.64,207.82,1.0
M6,11,1.5132,103.07999999999998,6.01,0.96,54.88,0.5555555555555556
M6,12,1.5149,104.11000000000007,16.65,1.33,236.18,0.9803921568627451
M6,13,1.5196,106.90000000000003,3.0,1.19,35.38,0.641025641025641
M6,14,1.5269,111.30000000000001,1.81,1.93,37.11,0.970873786407767
M6,15,1.534,115.55000000000001,0.59,1.89,12.17,1.0
M5,1,2.1237,155.55,0.37,1.06,3.75,0.591715976331361
M5,2,2.1357,162.77000000000004,1.5,1.8,32.71,1.0
M5,3,2.1404,165.57,7.31,0.95,74.47,1.0
M5,4,2.1421,166.62000000000018,2.24,0.78,14.24,0.36101083032490977
M5,5,2.1448,168.2100000000001,10.68,1.33,165.86,1.0
M5,6,2.1472,169.65000000000015,8.29,1.39,119.4,0.8064516129032259
M5,7,2.1495,171.06,7.31,1.33,104.76,1.0
M5,8,2.1516,172.32,30.03,1.07,353.74,1.0
M5,9,2.1539,173.67000000000013,8.5,1.33,121.77,1.0
M5,10,2.156,174.9600000000001,27.35,0.95,272.81,0.8928571428571428
M5,11,2.1581,176.23000000000008,8.68,2.45,256.61,1.0
M5,12,2.1607,177.75000000000006,7.5,1.46,114.78,0.8547008547008548
M5,13,2.163,179.17000000000013,9.04,0.95,87.71,0.7575757575757576
M5,14,2.1656,180.6900000000001,2.88,0.88,24.69,0.6097560975609756
M5,15,2.1674,181.8,7.39,1.04,77.24,0.684931506849315
M5,16,2.1719,184.49000000000007,1.32,1.74,27.73,1.0
M4,1,2.7362,204.49000000000007,21.18,0.98,209.15,0.6944444444444444
M4,2,2.7406,207.14000000000016,45.59,0.94,449.32,0.8547008547008548
M4,3,2.745,209.81,20.57,0.95,198.8,0.7407407407407407
M4,4,2.7619,219.9600000000001,0.48,0.97,5.06,1.0
M2,1,4.4281,259.96000000000004,94.0,2.17,2032.98,0.6666666666666666
M1,1,7.3259,279.96000000000004,2.21,1.14,26.32,0.8333333333333334
M1,2,7.3284,281.46000000000004,5.14,1.24,67.47,0.9259259259259258
M1,3,7.331,283.03999999999996,2.4,1.24,29.37,0.641025641025641
M1,4,7.3358,285.90999999999985,2.46,1.05,23.87,0.5
M1,5,7.3402,288.52999999999975,16.28,1.54,239.4,0.5524861878453039
M1,6,7.3443,291.0199999999995,12.57,1.72,248.1,1.0
M1,7,7.3469,292.5799999999999,17.0,2.4,427.59,0.8547008547008548
M1,8,7.35,294.4399999999996,8.01,2.72,264.63,1.0
M1,9,7.3538,296.6700000000001,16.09,1.24,165.15,0.3717472118959108
M1,10,7.3585,299.5,48.55,2.05,989.55,0.6535947712418301
M1,11,7.3615,301.28999999999996,11.06,1.27,121.03,0.4065040650406504
M1,12,7.3739,308.71999999999935,1.29,1.76,24.78,1.0
M1,13,7.3774,310.8699999999999,4.86,0.85,43.22,0.8333333333333334
M1,14,7.379,311.7999999999993,24.3,0.95,248.7,1.0
M1,15,7.3806,312.77999999999975,31.48,0.95,314.34,0.9009009009009008
M1,16,7.3841,314.8599999999997,8.33,0.95,82.22,0.8333333333333334
M1,17,7.3864,316.2699999999995,1.72,1.22,21.82,0.8333333333333334
M1,18,7.3905,318.6899999999996,21.76,1.39,318.44,0.8771929824561403
M1,19,7.3924,319.8299999999999,22.83,0.95,228.96,0.9259259259259258
M1,20,7.3941,320.8899999999994,18.03,1.17,228.48,1.0
M1,21,7.3973,322.77999999999975,0.45,0.48,2.09,0.5555555555555556
M1,22,7.402,325.58999999999924,5.08,1.18,65.09,1.0
M1,23,7.4044,327.0699999999997,11.63,1.03,124.56,0.8474576271186441
M1,24,7.4064,328.2599999999993,6.59,0.99,66.25,0.7142857142857143
